cleaned
mcap,liquidity,buy,sell,scams,worth,contract_age,pair_age,funding_time,source,airdrops,amount,wallet,ape_score,safu_score,buy_tax,sell_tax,owner_type,owner_quant,holds_qty,holds_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,printed
13656,2.6,64,4,0.0,12261.0,19,1,4,Mexc,0.0,388.0,7874,42,100,25,36.8,INDIVIDUAL,4,56.0,64.7,0.0,0.0,7.0,10.2,0.0,0.0,0.0,0.0,24,TRUE
56524,5.2,868,521,0.48717948717948700,9110.0,55,37,56,Binance,1.0,298.0,5917,39,93,0,0,RENOUNCED,10,408.0,349.6,1.0,0.4,1.0,0.5,4.0,1.2,3.0,4.1,15,FALSE
31849,3.7,103,34,0.5760869565217390,5613.0,7,3,19,Mexc,2.0,373.0,7649,51,100,0,5.2,INDIVIDUAL,6,86.0,33.7,0.0,0.0,23.0,33.8,1.0,0.7,0.0,0.0,7,FALSE
31366,4.8,58,4,0.55,1164.0,7,1,13,FixedFloat,1.0,568.0,4066,91,42,0,4.1,INDIVIDUAL,4,53.0,82.8,0.0,0.0,13.0,13.6,0.0,0.0,0.0,0.0,31,FALSE
143562,8.4,,605,0.48717948717948700,9102.0,58,40,59,Binance,1.0,186.0,3469,7,92,0,0,RENOUNCED,10,382.0,348.8,1.0,0.4,0.0,0.0,4.0,1.2,3.0,5.0,13,TRUE
27020,5.5,169,92,0.8571428571428570,937.0,15,14,17,Binance,0.0,185.0,25940,12,92,0,0,UNKNOWN,4,78.0,228.4,1.0,0.8,7.0,16.8,8.0,10.4,2.0,2.5,25,FALSE
23529,4.2,241,166,0.55,10235.0,19,13,26,FixedFloat,1.0,185.0,7619,51,100,0,0,RENOUNCED,9,141.0,105.4,0.0,0.0,12.0,11.8,1.0,0.1,0.0,0.0,7,FALSE
439307,22.8,,692,0.5476190476190480,334.0,53,52,15,Kucoin,1015.0,1888.0,192885,15,100,0,0,RENOUNCED,36,297.0,161.7,1.0,0.2,0.0,0.0,16.0,18.4,2.0,2.5,10,FALSE
53403,12.8,105,69,0.65,13.0,537140,537140,537120,Binance,1.0,222.0,7477,12,100,0,0,RENOUNCED,113,185.0,624.6,0.0,0.0,0.0,0.0,6.0,3.2,4.0,3.1,25,FALSE
7513,2.9,193,138,0.8571428571428570,937.0,25,24,28,Binance,0.0,371.0,16266,18,90,0,0,UNKNOWN,4,50.0,190.8,1.0,0.8,1.0,2.0,2.0,2.8,2.0,2.5,192,TRUE
3774,1.3,7,0,0.5,617.0,5,0,21,Mexc,1.0,75.0,3119,11,67,20,24.6,INDIVIDUAL,4,8.0,5.1,0.0,0.0,7.0,10.9,0.0,0.0,0.0,0.0,3,TRUE
38630,9.7,18,1,0.7948717948717950,168.0,13,0,27,INDIVIDUAL,0.0,185.0,7064,37,75,0,0,UNKNOWN,3,18.0,13.9,1.0,0.1,9.0,30.0,1.0,0.1,1.0,0.0,395,TRUE
27981,3.5,146,72,0.29411764705882400,5851.0,30,11,31,Mexc,1.0,185.0,4033,13,94,0,0,RENOUNCED,10,104.0,46.3,0.0,0.0,11.0,9.8,1.0,1.2,0.0,0.0,32,FALSE
17017,3.6,283,228,0.55,10234.0,28,22,35,FixedFloat,1.0,371.0,5664,12,100,0,0,RENOUNCED,9,114.0,77.5,0.0,0.0,11.0,11.4,1.0,0.1,0.0,0.0,3,TRUE
6045,1.7,28,20,1.0,486.0,28,15,35,INDIVIDUAL,0.0,185.0,16779,21,93,1,1.4,UNKNOWN,6,17.0,19.2,0.0,0.0,0.0,0.0,5.0,14.6,0.0,0.0,54,TRUE
4404,1.4,33,0,0.0,753.0,7,0,19,Binance,2.0,185.0,7593,37,75,0,1.6,INDIVIDUAL,5,36.0,19.0,0.0,0.0,33.0,15.7,2.0,1.9,0.0,0.0,395,FALSE
7615,1.8,72,0,0.0,753.0,7,0,19,Binance,2.0,46.0,7564,37,75,0,1.2,INDIVIDUAL,5,36.0,18.8,0.0,0.0,33.0,19.7,1.0,1.5,0.0,0.0,395,FALSE
28831,3.6,291,179,0.29411764705882400,5851.0,45,26,46,Mexc,1.0,557.0,3428,29,99,0,0,RENOUNCED,10,148.0,122.1,1.0,0.7,4.0,3.1,1.0,0.7,1.0,0.7,77,FALSE
30276,3.7,316,214,0.29411764705882400,5851.0,48,30,50,Mexc,1.0,557.0,5898,38,90,0,0,RENOUNCED,10,137.0,113.7,1.0,0.7,3.0,1.6,1.0,0.7,1.0,0.7,31,FALSE
4111,1.5,16,0,0.53,96.0,18,0,37,FixedFloat,0.0,169.0,3614,33,49,20,38.6,INDIVIDUAL,4,18.0,12.1,0.0,0.0,16.0,24.7,0.0,0.0,0.0,0.0,214,TRUE
551340,52.7,,1587,0.7175572519083970,83.0,1447,59,1440,INDIVIDUAL,1.0,1509.0,3139,10,100,0,0,RENOUNCED,6,481.0,240.4,1.0,0.6,1.0,0.1,13.0,2.8,2.0,1.2,17,FALSE
22444,3.1,102,0,0.0,753.0,8,1,19,Binance,2.0,74.0,7450,37,75,0,3.5,INDIVIDUAL,5,91.0,71.6,0.0,0.0,33.0,20.2,1.0,1.5,1.0,0.5,395,TRUE
9653,3.3,203,146,0.8571428571428570,0.0,30,28,32,Binance,0.0,185.0,6562,10,100,0,0,UNKNOWN,5,49.0,186.7,1.0,0.8,1.0,2.0,2.0,2.8,2.0,2.5,5,TRUE
107395,10.3,,214,0.0,4391.0,6,49,41760,Binance,3.0,377.0,4010,20,100,0,9.9,INDIVIDUAL,10,142.0,70.3,1.0,0.6,9.0,11.0,6.0,7.5,0.0,0.0,11,TRUE
7933,1.9,18,0,0.2898550724637680,701.0,25,4,28,Binance,1.0,55.0,3149,18,100,0,4.3,INDIVIDUAL,6,19.0,6.4,0.0,0.0,7.0,9.7,0.0,0.0,0.0,0.0,3,FALSE
31746,4.2,149,28,0.7338709677419360,6776.0,22,17,51,Binance,0.0,371.0,3300,31,97,0,0,RENOUNCED,9,114.0,131.2,0.0,0.0,16.0,10.7,5.0,3.3,0.0,0.0,127,FALSE
17410,4.4,240,160,0.8571428571428570,0.0,4,3,1,Binance,0.0,703.0,6916,21,96,0,0,UNKNOWN,5,69.0,193.4,1.0,0.8,1.0,2.0,3.0,2.1,2.0,2.5,25,FALSE
45708,4.5,339,229,0.29411764705882400,5852.0,50,32,52,Mexc,1.0,278.0,3281,6,100,0,0,RENOUNCED,10,143.0,114.8,1.0,0.7,3.0,1.6,1.0,0.7,1.0,0.7,4,FALSE
10035,2.5,39,32,0.4936708860759490,75.0,99375,99375,99360,Binance,0.0,557.0,10862,24,100,0,0,RENOUNCED,37,152.0,31.0,0.0,0.0,15.0,14.5,3.0,0.7,0.0,0.0,39,FALSE
32318,3.6,99,24,0.2857142857142860,3314.0,29,8,66240,Binance,1.0,185.0,3748,21,84,0,5.3,INDIVIDUAL,23,90.0,38.6,0.0,0.0,48.0,35.5,9.0,5.0,0.0,0.0,87,FALSE
57967,5.6,192,48,0.7338709677419360,6776.0,27,22,56,Binance,0.0,278.0,6435,21,91,0,0,RENOUNCED,9,144.0,138.3,0.0,0.0,16.0,10.7,5.0,3.0,0.0,0.0,75,TRUE
